日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,146.11801,152.082,146.11801,152.082
2016-08-10,0,1000000.0,146.04941,152.01059,146.04941,152.01059
2016-08-11,0,1000000.0,146.069,152.031,146.069,152.031
2016-08-12,0,1000000.0,146.8432,152.83679,146.8432,152.83679
2016-08-15,0,1000000.0,148.48961,154.5504,148.48961,154.5504
2016-08-16,0,1000000.0,149.7146,155.82541,149.7146,155.82541
2016-08-17,0,1000000.0,150.6456,156.7944,150.6456,156.7944
2016-08-18,0,1000000.0,151.8706,158.0694,151.8706,158.0694
2016-08-19,0,1000000.0,152.56639,158.7936,152.56639,158.7936
2016-08-22,0,1000000.0,152.37039,158.5896,152.37039,158.5896
2016-08-23,0,1000000.0,152.3214,158.53859,152.3214,158.53859
2016-08-24,0,1000000.0,152.1058,158.31421,152.1058,158.31421
2016-08-25,0,1000000.0,152.6154,158.84459,152.6154,158.84459
2016-08-26,0,1000000.0,151.16501,157.33499,151.16501,157.33499
2016-08-29,0,1000000.0,152.7722,159.0078,152.7722,159.0078
2016-08-30,0,1000000.0,153.517,159.78299,153.517,159.78299
2016-08-31,0,1000000.0,152.5076,158.73239,152.5076,158.73239
2016-09-01,0,1000000.0,153.17401,159.426,153.17401,159.426
2016-09-02,0,1000000.0,153.9482,160.2318,153.9482,160.2318
2016-09-06,0,1000000.0,154.252,160.54799,154.252,160.54799
2016-09-07,0,1000000.0,154.252,160.54799,154.252,160.54799
2016-09-08,0,1000000.0,152.7722,159.0078,152.7722,159.0078
2016-09-09,0,1000000.0,148.4994,154.5606,148.4994,154.5606
2016-09-12,0,1000000.0,147.5684,153.5916,147.5684,153.5916
2016-09-13,-1,1000000.0,144.75581,150.6642,144.75581,150.6642
2016-09-14,-1,1006025.3143310547,143.8836,149.75641,143.8836,149.75641
2016-09-15,-1,1007669.8810023572,143.6484,149.5116,143.6484,149.5116
2016-09-16,-1,1013032.0187948401,142.884,148.716,142.884,148.716
2016-09-19,-1,1006083.9295288544,143.864,149.73601,143.864,149.73601
2016-09-20,-1,1004233.45934969,144.12862,150.0114,144.12862,150.0114
2016-09-21,-1,992830.226067494,145.76521,151.7148,145.76521,151.7148
2016-09-22,-1,996768.5340904114,145.187,151.11299,145.187,151.11299
2016-09-23,-1,1001410.8122221481,144.5108,150.40921,144.5108,150.40921
2016-09-26,-1,995366.7308414462,145.38301,151.317,145.38301,151.317
2016-09-27,-1,992079.1024278377,145.8632,151.81679,145.8632,151.81679
2016-09-28,-1,985813.6568749615,146.78441,152.77559,146.78441,152.77559
2016-09-29,-1,981009.0450075723,147.4998,153.52019,147.4998,153.52019
2016-09-30,-1,982117.1025901231,147.3332,153.34679,147.3332,153.34679
2016-10-03,-1,1045940.8967740489,137.7586,143.38141,137.7586,143.38141
2016-10-04,-1,1070123.222753012,134.57361,140.0664,134.57361,140.0664
2016-10-05,-1,1072772.88696407,134.2404,139.71959,134.2404,139.71959
2016-10-06,-1,1072381.3046443472,134.2894,139.7706,134.2894,139.7706
2016-10-07,-1,1087641.751868721,132.3784,137.7816,132.3784,137.7816
