日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,85.9852,89.4948,85.9852,89.4948
2016-08-10,0,1000000.0,85.544205,89.0358,85.544205,89.0358
2016-08-11,0,1000000.0,86.04401,89.556,86.04401,89.556
2016-08-12,0,1000000.0,85.7892,89.2908,85.7892,89.2908
2016-08-15,0,1000000.0,86.1518,89.668205,86.1518,89.668205
2016-08-16,0,1000000.0,85.5246,89.015396,85.5246,89.015396
2016-08-17,0,1000000.0,85.3874,88.8726,85.3874,88.8726
2016-08-18,0,1000000.0,85.3384,88.8216,85.3384,88.8216
2016-08-19,0,1000000.0,85.2992,88.7808,85.2992,88.7808
2016-08-22,0,1000000.0,85.5736,89.0664,85.5736,89.0664
2016-08-23,0,1000000.0,86.04401,89.556,86.04401,89.556
2016-08-24,0,1000000.0,84.917,88.383,84.917,88.383
2016-08-25,0,1000000.0,83.6822,87.0978,83.6822,87.0978
2016-08-26,0,1000000.0,84.868004,88.33199,84.868004,88.33199
2016-08-29,0,1000000.0,85.7108,89.2092,85.7108,89.2092
2016-08-30,0,1000000.0,85.113,88.587,85.113,88.587
2016-08-31,0,1000000.0,85.2894,88.7706,85.2894,88.7706
2016-09-01,0,1000000.0,85.2404,88.719604,85.2404,88.719604
2016-09-02,0,1000000.0,85.5736,89.0664,85.5736,89.0664
2016-09-06,0,1000000.0,85.4266,88.9134,85.4266,88.9134
2016-09-07,0,1000000.0,84.427,87.873,84.427,87.873
2016-09-08,0,1000000.0,84.534805,87.9852,84.534805,87.9852
2016-09-09,0,1000000.0,83.17261,86.5674,83.17261,86.5674
2016-09-12,0,1000000.0,84.476,87.923996,84.476,87.923996
2016-09-13,0,1000000.0,83.143196,86.5368,83.143196,86.5368
2016-09-14,0,1000000.0,82.986404,86.3736,82.986404,86.3736
2016-09-15,0,1000000.0,83.94681,87.3732,83.94681,87.3732
2016-09-16,0,1000000.0,84.2898,87.7302,84.2898,87.7302
2016-09-19,0,1000000.0,84.2702,87.70979,84.2702,87.70979
2016-09-20,0,1000000.0,84.632805,88.0872,84.632805,88.0872
2016-09-21,0,1000000.0,85.3972,88.8828,85.3972,88.8828
2016-09-22,0,1000000.0,86.0636,89.5764,86.0636,89.5764
2016-09-23,0,1000000.0,85.9558,89.464195,85.9558,89.464195
2016-09-26,0,1000000.0,84.8288,88.2912,84.8288,88.2912
