日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,91.2086,94.9314,91.2086,94.9314
2016-08-10,0,1000000.0,90.5912,94.2888,90.5912,94.2888
2016-08-11,0,1000000.0,91.1008,94.8192,91.1008,94.8192
2016-08-12,0,1000000.0,90.062004,93.738,90.062004,93.738
2016-08-15,0,1000000.0,90.65,94.35,90.65,94.35
2016-08-16,0,1000000.0,91.0322,94.747795,91.0322,94.747795
2016-08-17,0,1000000.0,92.678604,96.461395,92.678604,96.461395
2016-08-18,0,1000000.0,93.91341,97.7466,93.91341,97.7466
2016-08-19,0,1000000.0,93.7664,97.5936,93.7664,97.5936
2016-08-22,0,1000000.0,93.4234,97.2366,93.4234,97.2366
2016-08-23,0,1000000.0,94.089806,97.9302,94.089806,97.9302
2016-08-24,0,1000000.0,93.570404,97.3896,93.570404,97.3896
2016-08-25,0,1000000.0,93.178406,96.9816,93.178406,96.9816
2016-08-26,0,1000000.0,93.2274,97.03259,93.2274,97.03259
2016-08-29,0,1000000.0,94.1388,97.98119,94.1388,97.98119
2016-08-30,0,1000000.0,93.933,97.767,93.933,97.767
2016-08-31,0,1000000.0,93.6194,97.4406,93.6194,97.4406
2016-09-01,0,1000000.0,93.3842,97.1958,93.3842,97.1958
2016-09-02,0,1000000.0,93.3744,97.1856,93.3744,97.1856
2016-09-06,0,1000000.0,94.050606,97.8894,94.050606,97.8894
2016-09-07,-1,1000000.0,94.3544,98.2056,94.3544,98.2056
2016-09-08,-1,996364.8319244385,94.6974,98.56259,94.6974,98.56259
2016-09-09,-1,1036681.3068383465,90.8656,94.5744,90.8656,94.5744
2016-09-12,-1,1024494.2637587482,91.9338,95.686195,91.9338,95.686195
2016-09-13,-1,1039455.8886818774,90.5912,94.2888,90.5912,94.2888
2016-09-14,-1,1036307.3883972631,90.8656,94.5744,90.8656,94.5744
2016-09-15,-1,1033848.4986436045,91.08121,94.7988,91.08121,94.7988
2016-09-16,-1,1040077.8840629663,90.5324,94.22759,90.5324,94.22759
2016-09-19,-1,1032084.1977038817,91.228195,94.9518,91.228195,94.9518
2016-09-20,-1,1031529.8063918961,91.2772,95.0028,91.2772,95.0028
2016-09-21,-1,1010597.9584972702,93.1294,96.930595,93.1294,96.930595
2016-09-22,-1,1010066.1921554876,93.178406,96.9816,93.178406,96.9816
2016-09-23,-1,1018033.6737608897,92.443405,96.2166,92.443405,96.2166
2016-09-26,-1,1019652.5430883316,92.2964,96.0636,92.2964,96.0636
2016-09-27,-1,1012398.681087165,92.953,96.746994,92.953,96.746994
2016-09-28,-1,998416.0886959845,94.23681,98.0832,94.23681,98.0832
2016-09-29,-1,1000492.6983918389,94.0408,97.879196,94.0408,97.879196
2016-09-30,-1,984123.6392006732,95.5794,99.4806,95.5794,99.4806
2016-10-03,-1,985939.9360382541,95.403,99.297,95.403,99.297
2016-10-04,-1,992826.852618708,94.7366,98.60339,94.7366,98.60339
2016-10-05,-1,973621.400867799,96.56921,100.510796,96.56921,100.510796
2016-10-06,-1,975498.6896084739,96.383,100.31699,96.383,100.31699
2016-10-07,-1,978275.8917026984,96.108604,100.031395,96.108604,100.031395
2016-10-10,-1,985458.0830989764,95.403,99.297,95.403,99.297
2016-10-11,-1,993657.53857789,94.6092,98.4708,94.6092,98.4708
